VIC 3000	101933229	Melbourne		locality	27
SA 5075	101936417	Paradise		locality	17
NSW 2010	101931991	Surry Hills		locality	14
WA 6156	101937959	Willagee		locality	6
NSW 2000	101932003	Sydney		locality	4
NSW 2011	101930205	Elizabeth Bay		locality	2
NSW 2022	101929645	Bondi Junction		locality	2
NSW 2127	101932003	Sydney		locality	2
SA 5118	101936023	Gawler		locality	2
TAS 7250	101938147	Launceston		locality	2
WA 6014	101937927	Wembley		locality	2
Minnesota Court	101932783	Corio		locality	1
Moama Street	101939799	Mathoura		locality	1
NSW	101932379	Wollongong		locality	1
NSW 2010	101930065	Darlinghurst		locality	1
NSW 2026	101931433	North Bondi		locality	1
NSW 2037	101932003	Sydney		locality	1
NSW 2127	101932005	Sydney Olympic Park		locality	1
NSW 2234	101929379	Alfords Point		locality	1
NSW 2500	101932379	Wollongong		locality	1
NSW 2567	101931361	Narellan		locality	1
NSW 2800	101939171	Orange		locality	1
NSW 2898	101931087	Lord Howe Island		locality	1
Queensland	101933833	Ashgrove		locality	1
SA 5052	101935775	Belair		locality	1
SA 5118	101936137	Hewett		locality	1
SA 5221	101935739	American River		locality	1
SA 5223	1125779413	Vivonne Bay		locality	1
SA 5352	101941151	Tanunda		locality	1
SA 5355	101941113	Nuriootpa		locality	1
VIC 3166	101933371	Oakleigh		locality	1
VIC 3305	101933421	Portland		locality	1
VIC 3770	1125810793	Yering		locality	1
VIC 3796	101933293	Mount Evelyn		locality	1
VIC 3931	101933279	Mornington		locality	1
Vic 3182	101933229	Melbourne		locality	1
Vic 3280	101939305	Warrnambool		locality	1
Victoria	101932759	Clayton		locality	1
WA 6000	101937679	Perth		locality	1
WA 6012	101937529	Mosman Park		locality	1
WA 6035	101937997	Yanchep		locality	1
WA 6061	101937517	Mirrabooka		locality	1
WA 6062	101937527	Morley		locality	1
WA 6069	101937151	Ellenbrook		locality	1
WA 6173	101937755	Secret Harbour		locality	1
WA 6375	101941229	Corrigin		locality	1
WA 6910	101937839	Swanbourne		locality	1
Yarra Street	101932963	Geelong		locality	1
w113	101931461	North Ryde		locality	1
2???	101930903	Kings Park		locality	1
4	101935427	Taringa		locality	4
210	101930065	Darlinghurst		locality	1
230	101932027	Tamworth		locality	1
558	101936297	Moonta		locality	1
0800	101938417	Darwin City		locality	46
0810	101938409	Coconut Grove		locality	7
0810	101938591	Nightcliff		locality	7
0810	101938405	Casuarina		locality	2
0811	101938405	Casuarina		locality	1
0812	101938549	Marrara		locality	2
0812	101938367	Anula		locality	1
0820	101938417	Darwin City		locality	3
0820	101938603	Parap		locality	2
0820	101938631	Stuart Park		locality	2
0820	101938677	Winnellie		locality	2
0820	101938431	East Point		locality	1
0821	101938677	Winnellie		locality	1
0822	101938661	Wagait Beach		locality	2
0828	101938389	Berrimah		locality	2
0829	101938609	Pinelands		locality	1
0830	101938597	Palmerston City		locality	1
0830	101938691	Yarrawonga		locality	1
0832	101938375	Bakewell		locality	1
0832	101938467	Gunn		locality	1
0832	101938621	Rosebery		locality	1
0835	1125865673	Annaburroo		locality	1
0835	101938485	Howard Springs		locality	1
0836	101938487	Humpty Doo		locality	2
0836	1125786759	Coolalinga		locality	1
0838	1125790907	Berry Springs		locality	2
0845	101938379	Batchelor		locality	3
0846	101938349	Adelaide River		locality	1
0847	101941491	Pine Creek		locality	5
0850	101938513	Katherine		locality	3
0850	101938515	Katherine East		locality	1
0850	101938517	Katherine South		locality	1
0852	101938499	Jilkminggan		locality	1
0854	101938395	Borroloola		locality	1
0860	101938637	Tennant Creek		locality	907
0861	101938637	Tennant Creek		locality	1
0862	101938439	Elliott		locality	4
0862	1125835895	Dunmarra		locality	1
0870	101938353	Stuart		locality	16
0870	101938397	Braitling		locality	1
0871	101938629	Stuart		locality	4
0872	1141908769	Yulara		locality	2
0872	101938471	Haasts Bluff		locality	1
0885	101938357	Alyangula		locality	1
0886	101938497	Jabiru		locality	1
1568	101939803	Menangle		locality	1
2000	101932003	Sydney		locality	200
2000	101930663	Haymarket		locality	6
2000	101932089	The Rocks (Sydney)		locality	5
2000	101931231	Millers Point		locality	4
2000	101930077	Dawes Point		locality	3
2000	101931657	Pyrmont		locality	2
2004	101933545	South Melbourne		locality	1
2005	101932401	Woollahra		locality	1
2007	101932169	Ultimo		locality	18
2007	101932003	Sydney		locality	2
2007	101930403	Glebe		locality	1
2008	101929903	Chippendale		locality	6
2008	101930071	Darlington (Sydney)		locality	3
2008	101932003	Sydney		locality	1
2009	101931657	Pyrmont		locality	12
2010	101932003	Sydney		locality	22
2010	101931991	Surry Hills		locality	15
2010	101930065	Darlinghurst		locality	12
