Шумен	101748921	Shumen		locality	2
BG	101748907	Vratsa		locality	1
Комплекс "Милениум''	101748923	Ruse		locality	1
1000	101748887	Sofia		locality	970
1000	101748919	Varna		locality	1
1001	101748887	Sofia		locality	1
1024	101748887	Sofia		locality	11
1037	101748887	Sofia		locality	1
1040	101748887	Sofia		locality	4
1111	101748887	Sofia		locality	89
1113	101748887	Sofia		locality	171
1124	101748887	Sofia		locality	164
1137	101748887	Sofia		locality	7
1138	101748887	Sofia		locality	11
1142	101748887	Sofia		locality	207
1151	101799275	Lozen		locality	1
1151	101794511	Лозен		locality	1
1151	1360218587	Selo		locality	1
1164	101748887	Sofia		locality	64
1166	101748887	Sofia		locality	1
1172	101748887	Sofia		locality	24
1186	101794507	German		locality	1
1202	101748887	Sofia		locality	37
1217	1209445953	Balsha		locality	2
1220	101748887	Sofia		locality	31
1222	101798051	Negovan		locality	5
1225	101748887	Sofia		locality	2
1229	101748887	Sofia		locality	9
1231	101748887	Sofia		locality	4
1233	101748887	Sofia		locality	200
1271	101748887	Sofia		locality	1
1278	101748887	Sofia		locality	22
1280	101748887	Sofia		locality	1
1301	101748887	Sofia		locality	17
1303	101748887	Sofia		locality	66
1309	101748887	Sofia		locality	102
1310	101748887	Sofia		locality	1
1312	101748887	Sofia		locality	1
1320	101748887	Sofia		locality	5
1320	101798061	Банкя		locality	1
1323	101748887	Sofia		locality	2
1324	101748887	Sofia		locality	38
1326	101748887	Sofia		locality	2
1330	101748887	Sofia		locality	20
1331	101748887	Sofia		locality	6
1335	101748887	Sofia		locality	3
1336	101748887	Sofia		locality	24
1343	101748887	Sofia		locality	2
1345	101748887	Sofia		locality	10
1359	101748887	Sofia		locality	6
1360	101748887	Sofia		locality	7
1362	101748887	Sofia		locality	1
1373	101748887	Sofia		locality	4
1377	101748887	Sofia		locality	1
1379	101748887	Sofia		locality	5
1393	1327064747	Ivanyane		locality	1
1393	101748887	Sofia		locality	1
1404	101748887	Sofia		locality	141
1407	101748887	Sofia		locality	139
1408	101748887	Sofia		locality	75
1415	101748887	Sofia		locality	12
1416	101748887	Sofia		locality	1
1421	101748887	Sofia		locality	89
1434	101748887	Sofia		locality	3
1463	101748887	Sofia		locality	108
1473	101748887	Sofia		locality	2
1475	1225981011	Plana		locality	1
1504	101748887	Sofia		locality	607
1505	101748887	Sofia		locality	38
1510	101748887	Sofia		locality	12
1517	101748887	Sofia		locality	18
1520	101798067	Busmantsi		locality	1
1527	101748887	Sofia		locality	6
1528	101748887	Sofia		locality	23
1532	101836639	Kazichene		locality	1
1574	101748887	Sofia		locality	13
1582	101748887	Sofia		locality	18
1592	101748887	Sofia		locality	12
1606	101748887	Sofia		locality	194
1612	101748887	Sofia		locality	36
1614	101748887	Sofia		locality	3
1616	101748887	Sofia		locality	4
1618	101748887	Sofia		locality	216
1619	101748887	Sofia		locality	6
1621	101748887	Sofia		locality	1
1632	101748887	Sofia		locality	28
1641	101799309	Vladaya		locality	1
1680	101748887	Sofia		locality	94
1700	101748887	Sofia		locality	58
1712	101748887	Sofia		locality	8
1715	101748887	Sofia		locality	18
1729	101748887	Sofia		locality	4
1734	101748887	Sofia		locality	6
1750	101748887	Sofia		locality	4
1754	101748887	Sofia		locality	1
1756	101748887	Sofia		locality	20
1766	101748887	Sofia		locality	7
1784	101748887	Sofia		locality	38
1797	101748887	Sofia		locality	14
1799	101748887	Sofia		locality	8
1830	101798057	Buhovo		locality	2
1836	101748887	Sofia		locality	3
1839	101748887	Sofia		locality	2
2000	101798219	Samokov		locality	4
2010	1126009263	Borovets		locality	2
2010	1125896381	Borovec		locality	1
2020	101799437	Govedartsi		locality	3
2030	101798233	Костенец		locality	2
2042	1292942263	Kostenets		locality	3
2050	101798215	Ikhtiman		locality	2
2060	1276160473	Paunovo		locality	1
2077	101798229	Koprivshtitsa		locality	9
2089	101798223	Anton		locality	2
2089	1360218587	Selo		locality	1
2111	1243589845	Petkovo		locality	4
2118	1209142495	Karapoltsi		locality	3
2119	101799429	Lesnovo		locality	10
2140	101796923	Botevgrad		locality	8
2151	101798197	Vrachesh		locality	1
2160	101798195	Trudovets		locality	3
2161	101796925	Pravets		locality	4
2180	101798205	Etropole		locality	9
2200	101798203	Slivnitsa		locality	2
2210	101798201	Dragoman		locality	1
2222	1360016627	Barlozhnitsa		locality	1
2223	1327370017	Galabovtsi		locality	1
2227	101798231	Bozhurishte		locality	3
2230	101798207	Kostinbrod		locality	2
2235	1327064023	Opitsvet		locality	1
2295	1327169105	Batulia		locality	1
2300	101748885	Pernik		locality	8
2300	101798027	Radomir		locality	1
2304	101748885	Pernik		locality	1
2308	101748885	Pernik		locality	1
2309	101748885	Pernik		locality	1
2320	1259918569	Levunovo		locality	1
2487	1293137645	Mramor		locality	1
2500	101748877	Kyustendil		locality	2
2501	101748877	Kyustendil		locality	1
2540	1193171281	Konyavo		locality	9
2630	101799183	Rila		locality	1
2630	1293236983	Bela		locality	1
2640	101799185	Kocherinovo		locality	2
2643	1327066611	Rila Monastery		locality	3
2660	101799145	Razlog		locality	1
2700	101748875	Blagoevgrad		locality	66
2703	101748875	Blagoevgrad		locality	2
2760	101799145	Razlog		locality	25
2770	101799147	Bansko		locality	347
2777	101799169	Dobrinishte		locality	5
2778	101800289	Banya		locality	2
2799	1293935039	Dobarsko		locality	1
2800	101799159	Sandanski		locality	3
2802	101799159	Sandanski		locality	1
2820	1125893341	Melnik		locality	141
2830	101800337	Katuntsi		locality	1
2840	101799149	Кресна		locality	1
2850	1193066557	Petrich		locality	6
2947	101799173	Ognyanovo		locality	3
3000	101748907	Vratsa		locality	603
3001	101748907	Vratsa		locality	26
3002	101748907	Vratsa		locality	31
3044	101748907	Vratsa		locality	1
3130	101797037	Roman		locality	23
3170	101846509	Zverino		locality	1
3200	101796257	Byala		locality	13
3240	101797033	Borovan		locality	3
3300	101796157	Оряхово		locality	1
3320	101796155	Kozloduj		locality	2
3650	1125841209	Vulchedrum		locality	4
3700	101748917	Vidin		locality	4
3763	1225878171	Inovo		locality	1
3785	1293237821	Gamzovo		locality	7
3800	101796173	Kula		locality	4
3800	101748917	Vidin		locality	1
3900	101797323	Belogradchik		locality	4
4000	101748889	Plovdiv		locality	69
4001	101799395	Kuklen		locality	1
4001	101748889	Plovdiv		locality	1
4002	101748889	Plovdiv		locality	5
4002	101798005	Septemvri		locality	1
4003	101748889	Plovdiv		locality	14
4004	101748889	Plovdiv		locality	13
4006	101748889	Plovdiv		locality	7
4013	101748889	Plovdiv		locality	7
4015	101748889	Plovdiv		locality	3
4017	101748889	Plovdiv		locality	3
4021	101748889	Plovdiv		locality	1
4023	101748889	Plovdiv		locality	2
4101	101799395	Kuklen		locality	1
4107	101800437	Brestnik		locality	1
4109	101836651	Branipole		locality	2
4110	101800433	Purvenets		locality	1
4150	101798079	Rakovski		locality	2
4175	1360218587	Selo		locality	1
4180	101798071	Khisarya		locality	4
4199	101799349	Trud		locality	1
4210	101836641	Gara Krichim		locality	4
