Av. Circunvalación	102017123	Punta Arenas		locality	1
Lourdes	102017057	Rancagua		locality	1
w	102017463	Lo Barnechea		locality	1
1	102017463	Lo Barnechea		locality	2
02	102017041	Recoleta		locality	1
3	102017173	Providencia		locality	1
3	102016915	Santiago		locality	1
5	102017135	Puerto Varas		locality	1
32	102016833	Valparaíso		locality	1
045	102016885	Temuco		locality	1
64	102017501	La Unión		locality	1
567	102016837	Valdivia		locality	1
648	102016991	San Bernardo		locality	1
9408	421178981	28 de Noviembre		locality	2
16639	102016915	Santiago		locality	1
17009	102017509	La Serena		locality	1
43000	102017479	Linares		locality	1
57000	102017971	Ancud		locality	2
301000	890517661	Coínco		locality	1
301000	1209701293	El Rulo		locality	1
320000	102017215	Pichilemu		locality	1
334000	102017711	Curicó		locality	1
336000	102016883	Teno		locality	1
340001	102017711	Curicó		locality	2
378000	102017827	Chillán		locality	1
430000	102017479	Linares		locality	1
492000	102017165	Pucón		locality	1
506202	102017113	Purranque		locality	1
571000	102017971	Ancud		locality	2
590000	890517455	Quellón		locality	1
590000	102018005	Quellón		locality	1
616000	102017143	Puerto Natales		locality	1
755009	102016915	Santiago		locality	1
820000	102016915	Santiago		locality	1
1000434	102017953	Arica		locality	1
1001110	102017953	Arica		locality	1
1100000	102017581	Iquique		locality	9
1100026	102017581	Iquique		locality	1
1130000	102017977	Alto Hospicio		locality	1
1240000	102017963	Antofagasta		locality	5
1310000	1141908953	Mejillones		locality	1
1390000	102017963	Antofagasta		locality	1
1390000	102017903	Calama		locality	1
1395584	102017903	Calama		locality	1
1410000	102016941	San Pedro de Atacama		locality	3
1500000	102017671	El Salvador		locality	1
1535590	102017751	Copiapó		locality	1
1570000	102017899	Caldera		locality	1
1580000	1141906587	Tierra Amarilla		locality	1
1610000	102016835	Vallenar		locality	3
1700000	102017509	La Serena		locality	2
1710368	102017509	La Serena		locality	1
1711017	102017509	La Serena		locality	1
1720468	102017509	La Serena		locality	1
1721411	102017509	La Serena		locality	1
1721885	102017509	La Serena		locality	1
1780000	102017747	Coquimbo		locality	3
1780000	1259374767	El Palqui		locality	1
1790437	102017747	Coquimbo		locality	1
1890000	1125826865	Combarbalá		locality	2
1890000	1141906589	Combarbalá		locality	1
2030000	1175611243	La Ligua		locality	1
2210000	102017271	Panquehue		locality	1
2217315	890517899	Valparaíso		locality	1
2240000	890517531	Limache		locality	2
2290000	102017569	La Calera		locality	1
2300304	890517921	Nogales		locality	1
2340000	102016833	Valparaíso		locality	7
2362704	890517899	Valparaíso		locality	1
2362829	890517899	Valparaíso		locality	1
2362834	102016833	Valparaíso		locality	1
2370541	890517899	Valparaíso		locality	1
2370642	890517899	Valparaíso		locality	1
2370687	890517899	Valparaíso		locality	1
2370718	890517899	Valparaíso		locality	8
2370825	890517899	Valparaíso		locality	1
2370951	890517899	Valparaíso		locality	1
2380035	890517899	Valparaíso		locality	1
2380484	102016833	Valparaíso		locality	1
2390103	890517899	Valparaíso		locality	1
2390382	102016833	Valparaíso		locality	1
2420622	102017073	Quilpué		locality	1
2421183	102017073	Quilpué		locality	1
2430000	102017073	Quilpué		locality	2
2450934	102016815	Villa Alemana		locality	1
2510000	102017757	Concón		locality	7
2510513	102017757	Concón		locality	1
2520000	102016801	Valparaiso		locality	3
2520096	102016801	Valparaiso		locality	2
2520112	102016801	Valparaiso		locality	1
2520214	102016801	Valparaiso		locality	5
2520314	102016801	Valparaiso		locality	1
2520707	102016801	Valparaiso		locality	1
2520977	102016801	Valparaiso		locality	1
2562126	102016801	Valparaiso		locality	1
2571498	102016801	Valparaiso		locality	1
2571501	102016801	Valparaiso		locality	2
2580347	102016801	Valparaiso		locality	1
2580727	102016801	Valparaiso		locality	4
2720000	102018097	Santo Domingo		locality	2
2770000	890518295	Hanga Roa		locality	2
2820000	102017057	Rancagua		locality	1
2850546	102017057	Rancagua		locality	4
2852046	102017057	Rancagua		locality	1
2910786	102017417	Machalí		locality	3
2950000	102017255	Pelequén		locality	28
2970000	890517819	San Vicente de Tagua Tagua		locality	2
2980000	102017217	Pichidegua		locality	1
3010000	890517661	Coínco		locality	1
3070116	102018039	San Fernando		locality	3
3070662	102018039	San Fernando		locality	1
3070825	102018039	San Fernando		locality	5
3071082	102018039	San Fernando		locality	1
3071085	102018039	San Fernando		locality	1
3071086	102018039	San Fernando		locality	1
3071090	102018039	San Fernando		locality	1
3071092	102018039	San Fernando		locality	1
3071111	102018039	San Fernando		locality	2
3071112	102018039	San Fernando		locality	1
3071117	102018039	San Fernando		locality	2
3071118	102018039	San Fernando		locality	9
3071119	102018039	San Fernando		locality	3
3071123	102018039	San Fernando		locality	4
3071124	102018039	San Fernando		locality	4
3071240	102018039	San Fernando		locality	3
3071253	102018039	San Fernando		locality	1
3071507	102018039	San Fernando		locality	1
3071510	102018039	San Fernando		locality	7
3071511	102018039	San Fernando		locality	5
3071514	102018039	San Fernando		locality	1
3071524	102018039	San Fernando		locality	1
3071527	102018039	San Fernando		locality	3
3071529	102018039	San Fernando		locality	5
3071530	102018039	San Fernando		locality	1
3071541	102018039	San Fernando		locality	4
3071620	102018039	San Fernando		locality	2
3071621	102018039	San Fernando		locality	1
3071622	102018039	San Fernando		locality	2
3071819	102018039	San Fernando		locality	2
3071937	102018039	San Fernando		locality	1
3071991	102018039	San Fernando		locality	23
3071996	102018039	San Fernando		locality	12
3072197	102018039	San Fernando		locality	5
3072268	102018039	San Fernando		locality	8
3130000	102016925	Santa Cruz		locality	2
3140000	102017461	Lolol		locality	2
3200856	102017755	Constitución		locality	1
3220000	102017215	Pichilemu		locality	4
3340000	102017711	Curicó		locality	4
3340814	102017711	Curicó		locality	1
3341353	102017711	Curicó		locality	1
3345388	102017711	Curicó		locality	8
3345389	102017711	Curicó		locality	16
3345390	102017711	Curicó		locality	4
3345392	102017711	Curicó		locality	8
3460000	102016893	Talca		locality	2
3560515	102017755	Constitución		locality	1
3570000	102017711	Curicó		locality	1
3610000	102017479	Linares		locality	8
3610000	102017783	Colbún		locality	1
3630000	102017261	Parral		locality	1
3710000	102018139	Pelluhue		locality	1
3780000	102017827	Chillán		locality	19
3800708	102017827	Chillán		locality	2
3930000	102017927	Bulnes		locality	1
3940000	102017077	Quillón		locality	2
3970000	102017791	Coelemu		locality	1
4030000	102017759	Concepción		locality	2
4030000	102017883	Cañete		locality	1
4030425	102017759	Concepción		locality	2
4030442	102017759	Concepción		locality	1
4030575	102017759	Concepción		locality	1
4030603	102017759	Concepción		locality	1
4040237	102017759	Concepción		locality	1
4050044	102017759	Concepción		locality	1
4051381	102017759	Concepción		locality	1
4070032	102017759	Concepción		locality	5
4070713	102017759	Concepción		locality	1
4081375	102017759	Concepción		locality	1
4121707	1343880515	Lomas Coloradas		locality	1
4160000	102016861	Tomé		locality	7
4161024	102016861	Tomé		locality	1
4190000	102017739	Coronel		locality	2
4261172	102016891	Talcahuano		locality	1
4300525	102016891	Talcahuano		locality	1
4323315	102016915	Santiago		locality	4
4370000	102017719	Curanilahue		locality	3
4390000	102017883	Cañete		locality	1
4440000	102017441	Los Angeles		locality	1
4510000	1141906597	Santa Bárbara		locality	1
4550000	102017347	Nacimiento		locality	2
4600770	102017607	Hualpén		locality	1
4650000	102017967	Angol		locality	1
4700000	102017725	Curacautín		locality	1
4720000	102016825	Victoria		locality	6
4720359	102016825	Victoria		locality	1
4730000	102016853	Traiguén		locality	2
4780000	102016885	Temuco		locality	3
4780000	1293390451	San Patricio		locality	1
4780764	102016885	Temuco		locality	1
4781132	102016885	Temuco		locality	1
4781158	102016885	Temuco		locality	1
4790703	102016885	Temuco		locality	1
4790839	102016885	Temuco		locality	1
4791047	102016885	Temuco		locality	1
4791083	102016885	Temuco		locality	1
4800567	102016885	Temuco		locality	1
4800601	102016885	Temuco		locality	1
4800996	102016885	Temuco		locality	1
4801072	102016885	Temuco		locality	4
4802670	102016885	Temuco		locality	1
4811161	102016885	Temuco		locality	1
4850000	102017289	Padre Las Casas		locality	1
4920000	102017165	Pucón		locality	4
4920334	102017165	Pucón		locality	1
4920561	102017165	Pucón		locality	1
4990000	102016879	Teodoro Schmidt		locality	1
5090000	102016837	Valdivia		locality	21
5110212	102016837	Valdivia		locality	1
5110655	102016837	Valdivia		locality	1
5110842	102016837	Valdivia		locality	1
5110853	102016837	Valdivia		locality	1
5210000	102016909	Choshuenco		locality	2
5220000	102017501	La Unión		locality	13
5230000	102017283	Paillaco		locality	2
