CN-277160	890512925	Zaozhuang		locality	1
４７４５００	102027277	Nanyang		locality	1
4	1276948515	Pasang		locality	1
020	102027597	Guangzhou		locality	1
028	102027703	Chengdu		locality	1
735 100	102026811	Jiayuguan		locality	1
0757	102027615	Foshan		locality	15
853	1125927021	Macao		locality	4
7100	102027041	Hsi-an		locality	1
10040	102027745	Beijing		locality	1
012000	1242839081	Ulanqab		locality	2
014010	102027953	Baotou		locality	1
014030	102027953	Baotou		locality	1
017300	102028143	Ordos		locality	1
20032	1126050279	Shanghai		locality	2
21351	102027355	Licheng		locality	1
21500	102027777	Suzhou		locality	2
23008	102027561	Hefei		locality	1
024000	102027943	Chifeng		locality	2
025150	102027943	Chifeng		locality	1
26100	102027091	Weifang		locality	1
028100	102027867	Tongliao		locality	1
030000	102027117	Taiyuan		locality	1
030002	102027117	Taiyuan		locality	1
030003	102027117	Taiyuan		locality	2
030006	102027117	Taiyuan		locality	1
030009	102027117	Taiyuan		locality	1
030012	102027117	Taiyuan		locality	1
030021	1327201999	Yijing		locality	1
32100	102027445	Jinhua		locality	1
033000	102027117	Taiyuan		locality	1
35000	102027611	Fuzhou		locality	1
036001	1141907671	Shuozhou		locality	1
036002	1141907671	Shuozhou		locality	1
037001	102027935	Datongshi		locality	3
037044	102028027	Shanxi		locality	1
041000	102027379	Linfen		locality	1
041500	102027379	Linfen		locality	1
42700	102028015	Zhangjiajie		locality	2
044000	1125855015	Yuncheng		locality	2
044000	1343517297	Yaofeng		locality	1
044031	1125855015	Yuncheng		locality	1
045000	102026975	Yangquan		locality	4
046099	1141907673	Changzhi		locality	1
048000	102027457	Jincheng		locality	6
050000	102027161	Shijiazhuang		locality	2
050024	102027161	Shijiazhuang		locality	1
51000	102027597	Guangzhou		locality	1
054000	890512349	Xingtai		locality	1
054001	890512349	Xingtai		locality	1
54199	890516419	阳朔		locality	1
056601	890515729	Handan		locality	1
059000	102027037	Zhuhai		locality	1
062650	102027725	Cangzhou		locality	3
063000	102027111	Tangshan		locality	2
066000	102027225	Qinhuangdao		locality	1
066004	1125783617	Qinhuangdao		locality	3
066300	1125783617	Qinhuangdao		locality	1
067000	102027945	Chengdeshi		locality	9
071000	102027757	Baoding		locality	3
075000	102028035	Zhangjiakou		locality	1
075400	1292994067	Shacheng		locality	1
80000	102027001	Xining		locality	1
100000	102027745	Beijing		locality	5
100001	102027745	Beijing		locality	1
100004	102027745	Beijing		locality	1
100005	102027745	Beijing		locality	3
100006	102027745	Beijing		locality	2
100007	102027745	Beijing		locality	5
100009	102027745	Beijing		locality	4
100010	102027745	Beijing		locality	6
100012	102027745	Beijing		locality	3
100015	102027745	Beijing		locality	1
100016	102027745	Beijing		locality	3
100020	102027745	Beijing		locality	6
100021	102027745	Beijing		locality	4
100022	102027745	Beijing		locality	2
100024	102027745	Beijing		locality	2
100025	102027745	Beijing		locality	3
100026	102027745	Beijing		locality	3
100027	102027745	Beijing		locality	15
100028	102027745	Beijing		locality	10
100032	102027745	Beijing		locality	1
100033	102027745	Beijing		locality	1
100035	102027745	Beijing		locality	1
100036	102027745	Beijing		locality	3
100037	102027745	Beijing		locality	1
100038	102027745	Beijing		locality	1
100039	102027745	Beijing		locality	8
100040	102027745	Beijing		locality	7
100043	102027745	Beijing		locality	1
100044	102027745	Beijing		locality	12
100045	102027745	Beijing		locality	8
100048	1310669499	Haidian		locality	10
100048	102027745	Beijing		locality	1
100049	102027745	Beijing		locality	3
100052	102027745	Beijing		locality	1
100055	102027745	Beijing		locality	6
100062	102027745	Beijing		locality	1
100067	102027745	Beijing		locality	1
100070	890514841	丰台区		locality	4
100070	102027745	Beijing		locality	2
100071	1276429857	Dongfengtai		locality	1
100073	102027745	Beijing		locality	1
100075	102027745	Beijing		locality	1
100081	102027745	Beijing		locality	1
100083	102027745	Beijing		locality	10
100084	102027745	Beijing		locality	1
100085	1310669499	Haidian		locality	2
100085	102027745	Beijing		locality	1
100086	102027745	Beijing		locality	2
100088	102027745	Beijing		locality	4
100089	102027745	Beijing		locality	2
100089	102027777	Suzhou		locality	1
100091	102027745	Beijing		locality	4
100097	102027745	Beijing		locality	8
100101	102027745	Beijing		locality	3
100102	102027745	Beijing		locality	8
100103	102027745	Beijing		locality	1
100120	102027745	Beijing		locality	1
100122	102027745	Beijing		locality	1
100123	102027745	Beijing		locality	1
100125	102027745	Beijing		locality	3
100126	1226311667	Chengbei		locality	1
100143	102027745	Beijing		locality	1
100161	102027745	Beijing		locality	1
100176	102027745	Beijing		locality	1
100190	102027745	Beijing		locality	10
100191	102027745	Beijing		locality	1
100192	102027745	Beijing		locality	2
100193	102027745	Beijing		locality	1
100195	102027745	Beijing		locality	1
100300	890515481	长春		locality	1
100600	102027745	Beijing		locality	7
100621	102027745	Beijing		locality	1
100830	102027745	Beijing		locality	3
100835	102027745	Beijing		locality	2
100858	102027745	Beijing		locality	1
100871	102027745	Beijing		locality	1
100872	102027745	Beijing		locality	1
101100	102027745	Beijing		locality	1
101102	102027745	Beijing		locality	1
101300	102027745	Beijing		locality	1
101309	1327290235	Shengli		locality	1
101312	890516825	Shunyi		locality	1
101318	102027745	Beijing		locality	1
101400	102027745	Beijing		locality	1
101405	1293547867	Longshan		locality	2
101414	1344115297	Laba Goumen		locality	3
101500	102027745	Beijing		locality	1
101500	1259936461	Gulou		locality	1
101513	102027745	Beijing		locality	1
102202	1226311667	Chengbei		locality	1
102206	102027745	Beijing		locality	2
102208	102027745	Beijing		locality	3
102209	102027745	Beijing		locality	1
102218	102027745	Beijing		locality	5
102249	1226311667	Chengbei		locality	3
102445	102027745	Beijing		locality	2
102600	102027745	Beijing		locality	1
102617	102027745	Beijing		locality	24
102628	102027745	Beijing		locality	2
110000	102027875	Shenyang		locality	6
110003	102027875	Shenyang		locality	2
110004	102027875	Shenyang		locality	1
110010	102027875	Shenyang		locality	1
110015	102027875	Shenyang		locality	2
110016	102027875	Shenyang		locality	1
110020	102027875	Shenyang		locality	4
110023	102027875	Shenyang		locality	2
110024	102027875	Shenyang		locality	1
110031	102027875	Shenyang		locality	1
110035	102027875	Shenyang		locality	2
110101	102027875	Shenyang		locality	1
113001	102027929	Fushun		locality	1
116001	102027669	Dalian		locality	1
116023	102027669	Dalian		locality	2
116024	102027669	Dalian		locality	1
116026	102027669	Dalian		locality	1
116031	102027669	Dalian		locality	2
116033	102027669	Dalian		locality	1
116085	102027669	Dalian		locality	1
116650	102027669	Dalian		locality	2
117000	890516067	Benxi		locality	5
118016	102028063	Dandong		locality	1
118100	102028063	Dandong		locality	2
120000	102027597	Guangzhou		locality	1
121000	102027875	Shenyang		locality	1
121001	102027899	Jinzhou		locality	1
122000	890516163	Chaoyang		locality	5
123000	890512599	Fuxin		locality	1
123009	890512599	Fuxin		locality	1
125100	102027911	Huludao		locality	1
125105	102027911	Huludao		locality	4
128001	102027867	Tongliao		locality	1
130000	102027947	Changchun		locality	1
130012	890515481	长春		locality	1
130021	102027947	Changchun		locality	1
130024	890515481	长春		locality	1
130031	890515481	长春		locality	1
130033	102027947	Changchun		locality	1
130051	890515481	长春		locality	1
130061	890515481	长春		locality	1
130600	890515481	长春		locality	1
132001	102027901	Jilin		locality	1
132011	102027901	Jilin		locality	3
133000	102027853	Yanji		locality	5
134400	890511775	Baishan		locality	1
150001	102027921	Harbin		locality	2
150009	102027921	Harbin		locality	1
150010	102027921	Harbin		locality	1
150025	102027921	Harbin		locality	2
150028	102027921	Harbin		locality	1
150030	102027921	Harbin		locality	1
150050	102027921	Harbin		locality	1
150060	102027921	Harbin		locality	1
150080	102027921	Harbin		locality	3
150090	102027921	Harbin		locality	1
150400	102027921	Harbin		locality	1
157000	102027885	Mudanjiang		locality	1
158100	1125822383	Jixi		locality	19
158180	102027895	Jixi		locality	1
163813	102028055	Daqing		locality	1
200000	1126050279	Shanghai		locality	2
200000	102027181	Shanghai		locality	2
200002	102027181	Shanghai		locality	3
200003	1126050279	Shanghai		locality	2
200007	102027181	Shanghai		locality	1
200010	102027181	Shanghai		locality	2
200011	1126050279	Shanghai		locality	2
200020	1126050279	Shanghai		locality	2
200021	1126050279	Shanghai		locality	1
200023	1126050279	Shanghai		locality	3
200030	1126050279	Shanghai		locality	2
200031	1126050279	Shanghai		locality	5
200032	1126050279	Shanghai		locality	7
200040	1126050279	Shanghai		locality	3
200041	1126050279	Shanghai		locality	1
200050	1126050279	Shanghai		locality	5
200051	1126050279	Shanghai		locality	1
200052	1126050279	Shanghai		locality	4
200060	1126050279	Shanghai		locality	4
200062	1126050279	Shanghai		locality	1
200063	1126050279	Shanghai		locality	1
200070	1126050279	Shanghai		locality	2
200071	102027181	Shanghai		locality	1
200072	102027181	Shanghai		locality	1
200080	102027181	Shanghai		locality	3
200082	102027181	Shanghai		locality	2
200083	102027181	Shanghai		locality	1
200085	102027181	Shanghai		locality	2
200092	102027181	Shanghai		locality	3
200093	102027181	Shanghai		locality	1
200120	102027181	Shanghai		locality	6
200120	102027253	Pudong		locality	1
200122	102027181	Shanghai		locality	1
200125	1126050279	Shanghai		locality	2
200126	1126050279	Shanghai		locality	1
200127	102027181	Shanghai		locality	2
200129	102027181	Shanghai		locality	1
200131	102027181	Shanghai		locality	1
200135	102027181	Shanghai		locality	3
200231	1126050279	Shanghai		locality	25
200233	1126050279	Shanghai		locality	1
200237	1126050279	Shanghai		locality	6
200240	102027301	Shanghai		locality	240
200241	1126050279	Shanghai		locality	3
200333	1126050279	Shanghai		locality	1
200335	1126050279	Shanghai		locality	2
200336	1126050279	Shanghai		locality	1
200431	1126050279	Shanghai		locality	1
200433	102027181	Shanghai		locality	1
200434	102027181	Shanghai		locality	1
200435	102027181	Shanghai		locality	1
200437	102027181	Shanghai		locality	1
200439	102027181	Shanghai		locality	1
200441	102027181	Shanghai		locality	1
200443	102027181	Shanghai		locality	1
200940	102027181	Shanghai		locality	1
201100	1126050279	Shanghai		locality	2
201101	1126050279	Shanghai		locality	2
201102	1126050279	Shanghai		locality	3
201103	1126050279	Shanghai		locality	4
201106	1126050279	Shanghai		locality	1
201108	102027301	Shanghai		locality	2
201108	1192986815	Beiqiao		locality	1
201112	102027301	Shanghai		locality	2
201199	1126050279	Shanghai		locality	2
201200	102027301	Shanghai		locality	1
201203	102027181	Shanghai		locality	40
201204	102027181	Shanghai		locality	4
201205	102027301	Shanghai		locality	3
201206	102027181	Shanghai		locality	6
201207	102027253	Pudong		locality	2
201210	102027301	Shanghai		locality	43
201300	102027253	Pudong		locality	1
201306	102027301	Shanghai		locality	2
201306	102027253	Pudong		locality	1
201315	102027301	Shanghai		locality	29
201318	102027301	Shanghai		locality	3
201399	102027301	Shanghai		locality	1
201400	102027301	Shanghai		locality	1
201422	102027301	Shanghai		locality	1
201424	102027301	Shanghai		locality	1
201506	1192986815	Beiqiao		locality	1
201508	1192986815	Beiqiao		locality	1
201508	102027301	Shanghai		locality	1
201600	1326886595	Fangsong		locality	2
201600	1192986815	Beiqiao		locality	1
201600	1126050279	Shanghai		locality	1
201611	1326886595	Fangsong		locality	1
201615	1126050279	Shanghai		locality	2
201615	1192986815	Beiqiao		locality	1
201620	1326886595	Fangsong		locality	62
201700	1126050279	Shanghai		locality	2
201702	1192986815	Beiqiao		locality	9
201702	1126050279	Shanghai		locality	1
201713	1126050279	Shanghai		locality	1
201800	1126050279	Shanghai		locality	2
201803	1126050279	Shanghai		locality	2
201805	1126050279	Shanghai		locality	37
201805	890514205	Anting		locality	2
201807	1126050279	Shanghai		locality	1
201814	1126050279	Shanghai		locality	1
201821	1126050279	Shanghai		locality	4
201900	102027181	Shanghai		locality	1
201906	102027181	Shanghai		locality	1
202450	1125881735	Caiyuan		locality	1
210000	102027291	Nanjing		locality	7
210002	102027291	Nanjing		locality	8
210003	890513017	南京		locality	1
210003	102027291	Nanjing		locality	1
210005	102027291	Nanjing		locality	2
210008	102027291	Nanjing		locality	3
210012	102027291	Nanjing		locality	2
210013	102027291	Nanjing		locality	1
210016	890513017	南京		locality	3
210016	102027291	Nanjing		locality	1
210023	890513017	南京		locality	5
210023	102027291	Nanjing		locality	3
210028	102027291	Nanjing		locality	1
210032	102027291	Nanjing		locality	1
210036	102027291	Nanjing		locality	2
210037	890513017	南京		locality	3
210046	102027291	Nanjing		locality	2
211100	102027291	Nanjing		locality	2
211126	102027291	Nanjing		locality	4
