925 26	101785979	Boldog		locality	1
986 01	101833429	Rátka		locality	1
1007	101751703	Budapest		locality	4
1011	101751703	Budapest		locality	229
1012	101751703	Budapest		locality	271
1013	101751703	Budapest		locality	196
1014	101751703	Budapest		locality	268
1015	101751703	Budapest		locality	187
1016	101751703	Budapest		locality	528
1021	101751703	Budapest		locality	790
1022	101751703	Budapest		locality	657
1023	101751703	Budapest		locality	359
1024	101751703	Budapest		locality	557
1025	101751703	Budapest		locality	1678
1026	101751703	Budapest		locality	970
1027	101751703	Budapest		locality	431
1028	101751703	Budapest		locality	2404
1029	101751703	Budapest		locality	1767
1031	101751703	Budapest		locality	632
1032	101751703	Budapest		locality	189
1033	101751703	Budapest		locality	334
1034	101751703	Budapest		locality	188
1035	101751703	Budapest		locality	134
1036	101751703	Budapest		locality	283
1037	101751703	Budapest		locality	882
1038	101751703	Budapest		locality	93
1039	101751703	Budapest		locality	760
1041	101751703	Budapest		locality	266
1042	101751703	Budapest		locality	265
1043	101751703	Budapest		locality	179
1044	101751703	Budapest		locality	1347
1045	101751703	Budapest		locality	317
1046	101751703	Budapest		locality	745
1047	101751703	Budapest		locality	405
1048	101751703	Budapest		locality	449
1051	101751703	Budapest		locality	237
1052	101751703	Budapest		locality	258
1053	101751703	Budapest		locality	427
1054	101751703	Budapest		locality	155
1055	101751703	Budapest		locality	94
1056	101751703	Budapest		locality	357
1061	101751703	Budapest		locality	204
1062	101751703	Budapest		locality	314
1063	101751703	Budapest		locality	236
1064	101751703	Budapest		locality	208
1065	101751703	Budapest		locality	233
1066	101751703	Budapest		locality	250
1067	101751703	Budapest		locality	199
1068	101751703	Budapest		locality	186
1069	101751703	Budapest		locality	1
1071	101751703	Budapest		locality	245
1072	101751703	Budapest		locality	161
1073	101751703	Budapest		locality	171
1074	101751703	Budapest		locality	295
1075	101751703	Budapest		locality	183
1076	101751703	Budapest		locality	202
1077	101751703	Budapest		locality	365
1078	101751703	Budapest		locality	268
1081	101751703	Budapest		locality	228
1082	101751703	Budapest		locality	468
1083	101751703	Budapest		locality	248
1084	101751703	Budapest		locality	410
1085	101751703	Budapest		locality	474
1086	101751703	Budapest		locality	330
1087	101751703	Budapest		locality	245
1088	101751703	Budapest		locality	410
1089	101751703	Budapest		locality	702
1091	101751703	Budapest		locality	128
1092	101751703	Budapest		locality	295
1093	101751703	Budapest		locality	206
1094	101751703	Budapest		locality	309
1095	101751703	Budapest		locality	318
1096	101751703	Budapest		locality	150
1097	101751703	Budapest		locality	267
1098	101751703	Budapest		locality	146
1101	101751703	Budapest		locality	98
1102	101751703	Budapest		locality	89
1103	101751703	Budapest		locality	168
1104	101751703	Budapest		locality	111
1105	101751703	Budapest		locality	113
1106	101751703	Budapest		locality	165
1107	101751703	Budapest		locality	142
1108	101751703	Budapest		locality	100
1111	101751703	Budapest		locality	347
1112	101751703	Budapest		locality	3327
1113	101751703	Budapest		locality	829
1114	101751703	Budapest		locality	417
1115	101751703	Budapest		locality	658
1116	101751703	Budapest		locality	1785
1117	101751703	Budapest		locality	765
1118	101751703	Budapest		locality	2226
1119	101751703	Budapest		locality	1524
1121	101751703	Budapest		locality	1614
1122	101751703	Budapest		locality	522
1123	101751703	Budapest		locality	221
1124	101751703	Budapest		locality	1202
1125	101751703	Budapest		locality	1018
1126	101751703	Budapest		locality	729
1131	101751703	Budapest		locality	891
1132	101751703	Budapest		locality	305
1133	101751703	Budapest		locality	410
1134	101751703	Budapest		locality	495
1135	101751703	Budapest		locality	504
1136	101751703	Budapest		locality	270
1137	101751703	Budapest		locality	213
1138	101751703	Budapest		locality	528
1139	101751703	Budapest		locality	461
1141	101751703	Budapest		locality	431
1142	101751703	Budapest		locality	148
1143	101751703	Budapest		locality	134
1144	101751703	Budapest		locality	320
1145	101751703	Budapest		locality	365
1146	101751703	Budapest		locality	303
1147	101751703	Budapest		locality	206
1148	101751703	Budapest		locality	156
1149	101751703	Budapest		locality	198
1151	101751703	Budapest		locality	139
1152	101751703	Budapest		locality	249
1153	101751703	Budapest		locality	226
1154	101751703	Budapest		locality	391
1155	101751703	Budapest		locality	499
1156	101751703	Budapest		locality	158
1157	101751703	Budapest		locality	259
1158	101751703	Budapest		locality	170
1161	101751703	Budapest		locality	282
1162	101751703	Budapest		locality	124
1163	101751703	Budapest		locality	678
1164	101751703	Budapest		locality	99
1165	101751703	Budapest		locality	353
1171	101751703	Budapest		locality	76
1172	101751703	Budapest		locality	229
1173	101751703	Budapest		locality	843
1174	101751703	Budapest		locality	95
1181	101751703	Budapest		locality	186
1182	101751703	Budapest		locality	107
1183	101751703	Budapest		locality	231
1184	101751703	Budapest		locality	31
1185	101751703	Budapest		locality	38
1186	101751703	Budapest		locality	21
1188	101751703	Budapest		locality	163
1191	101751703	Budapest		locality	120
1192	101751703	Budapest		locality	566
1193	101751703	Budapest		locality	9
1194	101751703	Budapest		locality	302
1195	101751703	Budapest		locality	53
1196	101751703	Budapest		locality	37
1201	101751703	Budapest		locality	80
1202	101751703	Budapest		locality	133
1203	101751703	Budapest		locality	49
1204	101751703	Budapest		locality	52
1205	101751703	Budapest		locality	19
1211	101751703	Budapest		locality	169
1212	101751703	Budapest		locality	227
1213	101751703	Budapest		locality	92
1214	101751703	Budapest		locality	339
1215	101751703	Budapest		locality	99
1221	101751703	Budapest		locality	2493
1222	101751703	Budapest		locality	2327
1223	101751703	Budapest		locality	912
1224	101751703	Budapest		locality	781
1225	101751703	Budapest		locality	121
1237	101751703	Budapest		locality	17
1238	101751703	Budapest		locality	43
1239	101751703	Budapest		locality	88
1277	101751703	Budapest		locality	1
1280	101751703	Budapest		locality	1
1281	101751703	Budapest		locality	1
1285	101751703	Budapest		locality	1
1300	101751703	Budapest		locality	2
1312	101751703	Budapest		locality	1
1329	101751703	Budapest		locality	1
1365	101751703	Budapest		locality	1
1375	101751703	Budapest		locality	1
1376	101751703	Budapest		locality	1
1377	101751703	Budapest		locality	1
1379	101751703	Budapest		locality	1
1426	101751703	Budapest		locality	1
1432	101751703	Budapest		locality	1
1453	101751703	Budapest		locality	1
1454	101751703	Budapest		locality	1
1455	101751703	Budapest		locality	1
1459	101751703	Budapest		locality	1
1462	101788159	Martonvásár		locality	2
1474	101751703	Budapest		locality	1
1475	101751703	Budapest		locality	1
1476	101751703	Budapest		locality	2
1479	101751703	Budapest		locality	1
1480	101751703	Budapest		locality	1
1503	101751703	Budapest		locality	1
1504	101751703	Budapest		locality	1
1505	101751703	Budapest		locality	1
1507	101751703	Budapest		locality	1
1514	101751703	Budapest		locality	1
1519	101751703	Budapest		locality	1
1551	101751703	Budapest		locality	24
1580	101751703	Budapest		locality	1
1583	101751703	Budapest		locality	1
1610	101751703	Budapest		locality	1
1628	101751703	Budapest		locality	1
1683	101751703	Budapest		locality	1
1708	101751703	Budapest		locality	1
1726	101751703	Budapest		locality	1
1751	101751703	Budapest		locality	1
1752	101751703	Budapest		locality	1
1777	101751703	Budapest		locality	1
2000	101833343	Szentendre		locality	725
2009	1125808975	Pilisszentlászló		locality	464
2011	101754537	Budakalász		locality	404
