حي معصوم	421203127	Zarqa		locality	1
00962	421200421	Amman		locality	2
0962	421200421	Amman		locality	2
1100	1276402531	Al Ashrafiyah		locality	1
2213	421200421	Amman		locality	1
8147	421200421	Amman		locality	1
009626	421200421	Amman		locality	1
11118	421200421	Amman		locality	4
11180	421200421	Amman		locality	1
11181	421200421	Amman		locality	1
11183	421200421	Amman		locality	2
11185	421200421	Amman		locality	1
11191	421200421	Amman		locality	2
11192	421200421	Amman		locality	1
11194	421200421	Amman		locality	2
11195	421200421	Amman		locality	1
11196	421200421	Amman		locality	1
11732	421200421	Amman		locality	3
11821	421200421	Amman		locality	1
11885	421200421	Amman		locality	1
11953	421200421	Amman		locality	2
11953	1226152075	Sweimeh		locality	1
17110	890433293	Madaba		locality	1
19152	421188449	Fuheis		locality	1
21110	421174983	Irbid		locality	1
21163	421174983	Irbid		locality	1
21410	890442233	Ar Ramtha		locality	1
53451	1360048695	Hawar		locality	2
71810	890442229	Petra		locality	1
71811	890442229	Petra		locality	1
71882	890442229	Petra		locality	1
77110	421179953	Aqaba		locality	14
