St. Lucia	421173067	Soufrière		locality	15
BB18079	1343450575	Saint Phillip		locality	6
LC04 101	421186633	Castries		locality	3
LC15101	421190711	Micoud		locality	3
CP5857	421186633	Castries		locality	2
LC05 201	421186633	Castries		locality	2
na	421174871	Anse La Raye		locality	2
BB18879	1343450575	Saint Phillip		locality	1
BB19079	1343450575	Saint Phillip		locality	1
BOX 111	421201343	Gros Islet		locality	1
CP5631	1277098653	Rodney Bay		locality	1
GR5129	421201343	Gros Islet		locality	1
LC	421186633	Castries		locality	1
LC 1015	421190711	Micoud		locality	1
LC 11 101	421183649	Laborie		locality	1
LC01 201	421201343	Gros Islet		locality	1
LC01 601	421201343	Gros Islet		locality	1
LC04 301	421186633	Castries		locality	1
LC05 201	421202879	Vieux Fort		locality	1
LC10 101	421176683	Choiseul		locality	1
LC12 201	421202879	Vieux Fort		locality	1
MF 7085	421201343	Gros Islet		locality	1
P.O Box 230	421186633	Castries		locality	1
P.O. Box 168	421186633	Castries		locality	1
P.O. Box 1717	421186633	Castries		locality	1
P.O. Box 1717	421201343	Gros Islet		locality	1
RB2766	1277098653	Rodney Bay		locality	1
0001	421176683	Choiseul		locality	1
00124	421173067	Soufrière		locality	1
775	421186633	Castries		locality	1
