???	890445081	Panama City		locality	9
00000	421193859	Pedasí		locality	1
00000	421176625	Penonomé		locality	1
N/A	421181941	La Chorrera		locality	1
Panama	1293276037	Lagartero		locality	1
0301-01074	421169153	Colón		locality	1
00507	1343480883	Pedregal		locality	1
0801	890445081	Panama City		locality	1
0802	421173065	Gamboa		locality	1
0833-0293	890445081	Panama City		locality	1
04011	421198265	Puerto Armuelles		locality	1
07110	890445081	Panama City		locality	1
07196	890445081	Panama City		locality	1
7338	421173065	Gamboa		locality	1
010101	421185815	Bocas del Toro		locality	3
041979	890445081	Panama City		locality	2
080807	421186627	Ciudad de Panamá		locality	1
