‎435700	1125862499	Vişeu de Sus		locality	2
:327065	101793905	Carașova		locality	1
3	101752019	Cluj-Napoca		locality	1
64 R	101794031	Crevedia		locality	1
82	101834857	Colonia Târnava		locality	1
0500	101751953	Slatina		locality	1
537.071	101788733	Lueta		locality	1
7000	1141909417	Bucharest		locality	3
010011	1141909417	Bucharest		locality	1
010012	1141909417	Bucharest		locality	11
010013	1141909417	Bucharest		locality	1
010014	1141909417	Bucharest		locality	1
010015	1141909417	Bucharest		locality	1
010016	1141909417	Bucharest		locality	1
010017	1141909417	Bucharest		locality	6
010018	1141909417	Bucharest		locality	2
010019	1141909417	Bucharest		locality	4
010025	1141909417	Bucharest		locality	1
010027	1141909417	Bucharest		locality	3
010028	1141909417	Bucharest		locality	1
010031	1141909417	Bucharest		locality	9
010032	1141909417	Bucharest		locality	1
010033	1141909417	Bucharest		locality	5
010034	1141909417	Bucharest		locality	1
010035	1141909417	Bucharest		locality	3
010036	1141909417	Bucharest		locality	9
010037	1141909417	Bucharest		locality	1
010038	1141909417	Bucharest		locality	9
010039	1141909417	Bucharest		locality	2
010042	1141909417	Bucharest		locality	6
010043	1141909417	Bucharest		locality	2
010044	1141909417	Bucharest		locality	2
010045	1141909417	Bucharest		locality	5
010046	1141909417	Bucharest		locality	5
010051	1141909417	Bucharest		locality	3
010052	1141909417	Bucharest		locality	4
010053	1141909417	Bucharest		locality	1
010054	1141909417	Bucharest		locality	4
010055	1141909417	Bucharest		locality	5
010061	1141909417	Bucharest		locality	4
010062	1141909417	Bucharest		locality	1
010063	1141909417	Bucharest		locality	2
010065	1141909417	Bucharest		locality	1
010066	1141909417	Bucharest		locality	3
010067	1141909417	Bucharest		locality	2
010068	1141909417	Bucharest		locality	3
010069	1141909417	Bucharest		locality	2
010071	1141909417	Bucharest		locality	6
010082	1141909417	Bucharest		locality	9
010083	1141909417	Bucharest		locality	1
010084	1141909417	Bucharest		locality	2
010085	1141909417	Bucharest		locality	1
010086	1141909417	Bucharest		locality	1
010091	1141909417	Bucharest		locality	9
010092	1141909417	Bucharest		locality	3
010093	1141909417	Bucharest		locality	6
010094	1141909417	Bucharest		locality	6
010096	1141909417	Bucharest		locality	2
010097	1141909417	Bucharest		locality	4
010098	1141909417	Bucharest		locality	2
010099	1141909417	Bucharest		locality	1
010101	1141909417	Bucharest		locality	2
010108	1141909417	Bucharest		locality	3
010112	1141909417	Bucharest		locality	2
010113	1141909417	Bucharest		locality	5
010121	1141909417	Bucharest		locality	3
010122	1141909417	Bucharest		locality	1
010131	1141909417	Bucharest		locality	7
010132	1141909417	Bucharest		locality	2
010133	1141909417	Bucharest		locality	2
010134	1141909417	Bucharest		locality	1
010135	1141909417	Bucharest		locality	5
010136	1141909417	Bucharest		locality	5
