TR-7600	890460527	Side		locality	2
Gazi Paşa Caddesi	101911165	Zonguldak		locality	1
yes	101912923	Antalya		locality	1
1	101912867	Balıkesir		locality	1
07	101912923	Antalya		locality	1
48-650	101911277	Muğla		locality	2
0600	890460453	Ankara		locality	2
0654	890460453	Ankara		locality	2
01000	890461703	Adana		locality	1
01010	890461703	Adana		locality	4
01030	890461703	Adana		locality	1
01060	890461703	Adana		locality	1
01100	890461703	Adana		locality	1
01120	890461703	Adana		locality	3
01130	890461703	Adana		locality	1
01140	890461703	Adana		locality	2
01150	890461703	Adana		locality	2
01160	890461703	Adana		locality	1
01170	890461703	Adana		locality	5
01200	890461703	Adana		locality	1
01220	890461703	Adana		locality	3
01230	890461703	Adana		locality	1
01250	890461703	Adana		locality	3
01360	890461703	Adana		locality	3
01460	890461703	Adana		locality	1
01500	890461703	Adana		locality	3
01502	890461703	Adana		locality	1
01700	890461703	Adana		locality	1
01920	890461703	Adana		locality	1
01940	890461703	Adana		locality	1
02000	101911215	Adıyaman		locality	1
02040	101911215	Adıyaman		locality	4
02200	101911215	Adıyaman		locality	1
02240	101911215	Adıyaman		locality	1
02300	101911215	Adıyaman		locality	1
02402	101911215	Adıyaman		locality	2
02500	101911215	Adıyaman		locality	1
03030	101911145	Afyonkarahisar		locality	5
03200	1125770215	Afyonkarahisar		locality	1
3263	890463219	Mahmutlar		locality	9
03300	101911145	Afyonkarahisar		locality	1
3314	101913223	Mersin		locality	1
03400	101911145	Afyonkarahisar		locality	2
03500	1125770215	Afyonkarahisar		locality	3
3500	890461083	Izmir		locality	1
03502	1125770215	Afyonkarahisar		locality	1
03600	101911145	Afyonkarahisar		locality	1
03602	101911145	Afyonkarahisar		locality	1
03700	101911145	Afyonkarahisar		locality	1
03702	101911145	Afyonkarahisar		locality	1
03750	101911145	Afyonkarahisar		locality	1
03852	1125770215	Afyonkarahisar		locality	4
04000	1141906985	Agri		locality	1
04100	890463921	Ağrı		locality	3
4130	101912635	İzmit		locality	1
04200	890463921	Ağrı		locality	1
04500	890463921	Ağrı		locality	1
05100	101912687	Amasya		locality	3
05200	101912687	Amasya		locality	1
05300	101912687	Amasya		locality	1
5300	101911219	Nevşehir		locality	1
05302	101912687	Amasya		locality	1
05500	101912687	Amasya		locality	3
05700	101912687	Amasya		locality	1
06000	890460453	Ankara		locality	3
06010	890460453	Ankara		locality	5
06070	890460453	Ankara		locality	4
06080	890460453	Ankara		locality	86
06090	890460453	Ankara		locality	1
06100	890460453	Ankara		locality	3
06105	890460453	Ankara		locality	5
06120	890460453	Ankara		locality	1
06140	890460453	Ankara		locality	18
06145	890460453	Ankara		locality	3
06170	890460453	Ankara		locality	3
06200	890460453	Ankara		locality	219
06210	890460453	Ankara		locality	1
06220	890460453	Ankara		locality	2
06270	890460453	Ankara		locality	2
06291	890460453	Ankara		locality	1
06300	890460453	Ankara		locality	1
6300.0	890460453	Ankara		locality	1
06310	890460453	Ankara		locality	29
06320	890460453	Ankara		locality	1
06340	890460453	Ankara		locality	2
06350	890460453	Ankara		locality	1
06360	890460453	Ankara		locality	2
06370	890460453	Ankara		locality	4
06374	890460453	Ankara		locality	5
06378	890460453	Ankara		locality	1
06420	890460453	Ankara		locality	2
06430	890460453	Ankara		locality	1
06450	890460453	Ankara		locality	6
06460	890460453	Ankara		locality	4
06480	890460453	Ankara		locality	2
06490	890460453	Ankara		locality	1
06520	890460453	Ankara		locality	7
06530	890460453	Ankara		locality	6
06531	890460453	Ankara		locality	2
06540	890460453	Ankara		locality	4
06550	890460453	Ankara		locality	5
06560	890460453	Ankara		locality	2
06570	890460453	Ankara		locality	1
06573	890460453	Ankara		locality	1
06590	890460453	Ankara		locality	2
06610	890460453	Ankara		locality	1
06630	890460453	Ankara		locality	2
06640	890460453	Ankara		locality	3
06660	890460453	Ankara		locality	3
06670	890460453	Ankara		locality	1
06680	890460453	Ankara		locality	5
06690	890460453	Ankara		locality	1
06700	890460453	Ankara		locality	7
06750	890460453	Ankara		locality	12
06760	890460453	Ankara		locality	3
06780	890460453	Ankara		locality	1
06790	890460453	Ankara		locality	4
06793	890460453	Ankara		locality	1
06794	890460453	Ankara		locality	2
06796	890460453	Ankara		locality	4
06797	890460453	Ankara		locality	4
06800	890460453	Ankara		locality	4
06810	890460453	Ankara		locality	12
06815	890460453	Ankara		locality	1
06820	890460453	Ankara		locality	2
06824	890460453	Ankara		locality	2
06830	890460453	Ankara		locality	85
06830	890463355	Gölbaşı		locality	1
06850	890460453	Ankara		locality	1
06890	890460453	Ankara		locality	1
06900	890463805	Polatlı		locality	6
06900	890460453	Ankara		locality	3
06934	890460453	Ankara		locality	1
06940	890460453	Ankara		locality	1
06950	890460453	Ankara		locality	3
06970	890460453	Ankara		locality	1
06980	890460453	Ankara		locality	2
07010	101912923	Antalya		locality	3
07020	101912923	Antalya		locality	3
07025	101912923	Antalya		locality	1
07030	101912923	Antalya		locality	1
07030	890462697	Manavgat		locality	1
07040	101912923	Antalya		locality	1
07050	101912923	Antalya		locality	4
07070	101912923	Antalya		locality	3
07090	101912923	Antalya		locality	1
07100	101912923	Antalya		locality	8
07112	101912923	Antalya		locality	4
07130	101912923	Antalya		locality	28
07160	101912923	Antalya		locality	53
07170	101912923	Antalya		locality	3
07190	101912923	Antalya		locality	4
07200	101912923	Antalya		locality	1
07220	101912923	Antalya		locality	1
07230	101912923	Antalya		locality	4
07235	101912923	Antalya		locality	1
07260	101912923	Antalya		locality	1
07300	101912923	Antalya		locality	2
07310	101912923	Antalya		locality	1
07320	101912923	Antalya		locality	1
07330	890460527	Side		locality	94
07330	101912923	Antalya		locality	3
007330	890460527	Side		locality	1
07330	890462697	Manavgat		locality	1
07350	101912923	Antalya		locality	4
07400	890460745	Alanya		locality	17
07400	101912923	Antalya		locality	9
07435	890460745	Alanya		locality	2
07450	890463219	Mahmutlar		locality	1
07460	890460745	Alanya		locality	1
07500	101912923	Antalya		locality	4
07500	890464499	Belek		locality	1
07506	890464355	Serik		locality	4
07506	101912923	Antalya		locality	1
07525	101912923	Antalya		locality	4
07550	101912923	Antalya		locality	1
07571	101912923	Antalya		locality	1
07580	101912923	Antalya		locality	2
07600	890462697	Manavgat		locality	13
07600	890460527	Side		locality	13
07600	101912923	Antalya		locality	7
7600	890460527	Side		locality	1
07700	101912923	Antalya		locality	1
07740	101912923	Antalya		locality	3
07800	101912923	Antalya		locality	4
07900	101912923	Antalya		locality	5
07960	890463929	Kalkan		locality	2
07980	890464747	Kemer		locality	14
07980	101912923	Antalya		locality	2
07990	101912923	Antalya		locality	1
07995	890464747	Kemer		locality	2
08000	101911639	Artvin		locality	1
08200	1141906015	Artvin		locality	6
08290	1141906015	Artvin		locality	1
08600	890460085	Hopa		locality	1
09010	101911263	Aydin		locality	3
09020	101911263	Aydin		locality	3
