+255	421189813	Dar es Salaam		locality	3
+255	421170425	Zanzibar City		locality	2
P.O/ BOX	1125952847	Maswa		locality	2
+255	421189811	Bukoba		locality	1
+255	1125957569	Kamachumu		locality	1
+255	1141907011	Shinyanga		locality	1
+255 22 2664203	421189813	Dar es Salaam		locality	1
-	421189813	Dar es Salaam		locality	1
Dar es Salaam	421189813	Dar es Salaam		locality	1
Kipunguni B	421189813	Dar es Salaam		locality	1
P.O Box 35103	421189813	Dar es Salaam		locality	1
TZA	1125952847	Maswa		locality	1
027	421178423	Bariadi		locality	1
66	421181463	Bagamoyo		locality	1
170	421189827	Mbeya		locality	1
186	421181605	Iringa		locality	1
255	1126002779	Shinyanga		locality	10
255	421189813	Dar es Salaam		locality	7
255	421189387	Bunda Town		locality	6
255	421178443	Kasulu		locality	4
255	421181459	Arusha		locality	1
255	421178423	Bariadi		locality	1
255	421177209	Morogoro		locality	1
255	421201987	Tanga		locality	1
255	890442025	Mwanza		locality	1
271	421170433	Chake Chake		locality	1
578	1141907011	Shinyanga		locality	1
938	890443195	Moshi		locality	1
1941	890435609	Zanzibar City		locality	1
2651	890429631	Nungwi		locality	1
4023	421189813	Dar es Salaam		locality	1
5983	421189813	Dar es Salaam		locality	1
11007	421189813	Dar es Salaam		locality	1
11101	421189813	Dar es Salaam		locality	3
14110	421189813	Dar es Salaam		locality	1
31537	421189813	Dar es Salaam		locality	1
33102	890442025	Mwanza		locality	2
35091	421199089	Tunduma		locality	1
71101	421189835	Stone Town		locality	6
71103	421189835	Stone Town		locality	1
71485	421189813	Dar es Salaam		locality	1
